product_id,product_name,category,brand,price,rating,stock,discount,discount_amount,final_price
P048,Lenovo Tab P12,Tablet,Lenovo,29999,4.3,19,15,4499.849999999999,25499.15
P049,Google Pixel Tablet,Tablet,Google,67999,4.4,6,9,6119.91,61879.09
P050,ASUS ROG Flow Z13,Tablet,ASUS,139999,4.5,4,8,11199.92,128799.08
P051,Apple iPad 10th Gen,Tablet,Apple,38999,4.6,17,11,4289.89,34709.11
P052,Samsung Galaxy Tab A9,Tablet,Samsung,17999,4.2,28,16,2879.84,15119.16
P053,Logitech MX Master 3S,Accessories,Logitech,8999,4.8,21,14,1259.8600000000001,7739.139999999999
P054,Apple MagSafe Charger,Accessories,Apple,4499,4.5,30,10,449.90000000000003,4049.1
P055,Samsung 25W Charger,Accessories,Samsung,1499,4.4,42,20,299.8,1199.2
P056,OnePlus Power Bank,Accessories,OnePlus,1999,4.3,27,18,359.82,1639.18
P057,Dell USB-C Hub,Accessories,Dell,3999,4.2,16,15,599.85,3399.15
P058,HP Laptop Backpack,Accessories,HP,2999,4.1,25,22,659.78,2339.2200000000003
P059,Lenovo Wireless Mouse,Accessories,Lenovo,1799,4.3,33,17,305.83000000000004,1493.17
P060,ASUS USB-C Dock,Accessories,ASUS,6999,4.4,12,13,909.87,6089.13
